rf1,gwl1,rf2,gwl2,rf3,gwl3,rf4,gwl4,rf5,gwl5,rf6,gwl6,rf7,gwl7,rf8,gwl8,rf9,gwl9,rf10,gwl10,rf11,gwl11,rf12,gwl12,Inflow
11.65,9.039888,13.73,8.324376,17.05,8.952127,5.0,9.104413,3.76,8.9701,3.9,9.848327,63.83,7.2441154,5.5,8.768059,1.66,9.193859,5.37,8.9222145,3.08,8.888959,0.0,9.357821,2.5375312760633864
2.33,9.031972,8.63,8.513543,1.98,8.949929,5.47,9.079175,20.21,8.956123,0.58,9.519805,3.78,8.386141,5.8,8.828099,9.8,9.034968,14.73,8.904507,0.0,8.8270445,0.0,9.445992,2.545871559633028
3.6,8.986374,1.63,8.615506,14.5,8.94904,20.72,9.016645,0.27,8.941197,4.1,9.849259,4.35,8.588526,13.49,8.5446205,5.58,9.029248,10.04,8.870893,0.84,8.828048,27.28,8.852868,3.843480678343064
8.01,8.970558,12.47,8.790441,27.64,8.909044,34.17,8.891458,37.27,8.814009,13.48,8.209473,87.22,5.493809,58.44,7.2597966,47.75,7.635805,18.56,8.187299,47.81,7.503802,8.33,8.804147,3.7371420628301366
2.45,8.915391,36.66,7.604867,1.4,8.917122,0.63,8.897424,6.23,8.926147,9.83,8.224966,3.56,6.850903,0.17,8.334498,0.0,8.522813,1.07,8.46544,0.0,7.91745,0.0,9.184155,5.574784542674452
26.4,8.939994,29.07,7.331146,31.37,8.921363,27.55,8.907386,35.72,8.495796,16.05,7.2197137,14.54,7.150488,3.49,8.218899,14.16,8.500575,0.36,8.782628,3.4,8.55095,0.0,9.214272,3.518904642757854
5.79,8.968952,1.24,8.631012,9.2,8.942424,4.86,8.973753,4.34,8.795466,1.1,7.8014684,20.86,7.4077206,1.76,8.721843,1.24,8.8438225,0.0,8.974591,0.0,8.58109,0.0,9.23482,7.722407561857103
57.97,8.628502,34.2,6.9148045,40.51,8.896607,23.59,8.987403,36.49,8.359344,19.61,7.1030254,32.53,6.880718,41.5,7.218896,31.35,7.9835367,10.61,8.942671,3.06,8.937628,32.77,8.587724,11.975257158743398
17.77,8.881665,12.0,7.4004936,12.11,8.910696,5.73,9.04704,8.75,8.884362,8.0,7.750465,2.46,8.374768,2.86,8.639437,3.69,8.916253,2.23,8.994162,13.22,9.017523,5.43,8.735846,8.551570753405617
6.2,8.843589,2.29,8.7757845,9.74,8.9273405,11.71,8.963917,15.51,8.925513,0.32,7.937602,0.0,8.607631,3.22,8.732235,7.38,8.830683,0.46,9.000679,10.83,8.975662,1.62,9.014812,6.880733944954129
34.76,8.852983,6.86,8.482726,36.54,8.915224,30.6,8.952063,18.05,8.951002,0.82,8.723439,4.82,6.957129,6.28,8.616596,12.19,8.890154,3.67,8.960565,4.39,8.973578,2.5,8.936706,10.602585487906588
5.2,8.860654,0.82,9.186896,3.83,8.88724,3.67,9.003363,3.04,8.957272,0.0,8.873646,0.48,7.682856,5.8,8.590831,3.12,9.032318,0.0,8.977683,0.0,9.010472,0.0,9.192099,6.696552682791215
7.32,8.959045,1.15,9.088397,5.41,8.953705,4.29,9.066287,8.49,8.978187,0.0,8.910284,0.0,9.379687,0.0,9.105066,2.46,9.144006,0.0,8.91051,0.0,9.065592,0.0,9.309941,6.195440644981929
5.16,8.953869,1.18,9.275463,3.41,8.924962,0.0,8.995188,0.66,8.982884,0.0,8.896142,0.73,9.721482,0.0,9.168811,0.0,9.296645,0.0,8.91396,0.0,9.036358,0.0,9.431014,5.314150681123159
0.53,8.8637495,0.0,9.580001,2.75,8.866292,3.67,9.019545,0.0,8.9073305,0.0,8.9059725,0.0,10.119873,0.0,9.27824,0.0,9.369125,1.2,8.88602,0.0,9.1325445,4.82,9.15424,3.951209341117598
0.43,8.797538,4.24,9.139624,1.49,8.826897,0.4,9.03423,2.49,8.963089,0.0,8.9268,8.56,7.853255,0.44,9.430609,1.06,9.642737,1.89,8.887341,0.66,9.126705,1.28,9.245733,4.36474840144565
9.61,8.899257,11.65,8.918257,13.21,8.943079,4.36,8.948174,14.96,8.952179,12.49,8.889632,67.16,6.6041474,12.66,8.878319,31.45,8.61048,35.7,8.013148,49.45,7.699137,45.22,7.9238515,7.129552404781762
17.91,8.944369,32.1,8.010269,41.07,8.953521,47.7,8.703831,29.71,8.956364,20.06,7.7466235,66.27,5.5613394,39.5,7.536176,23.61,8.424106,24.67,7.7592144,25.83,7.662752,19.72,8.221029,8.992910758965806
18.24,8.915023,4.79,8.542824,13.0,8.918798,6.67,8.9309225,4.96,8.941769,1.09,8.286473,0.14,7.8849425,0.53,8.95604,1.31,8.910945,0.0,8.05772,0.0,8.388932,0.0,8.91881,4.124270225187656
0.0,8.872184,0.0,9.1760235,0.82,8.856304,0.0,8.821313,0.0,8.85662,0.0,8.425154,6.78,6.183832,0.35,9.095375,0.0,9.091352,0.0,8.380462,0.0,8.535836,0.0,9.092418,6.325410063942175
0.0,8.855358,0.0,9.274057,0.21,8.870676,0.28,8.88874,0.0,8.873988,0.0,8.811843,0.0,8.814105,0.0,9.151071,4.51,8.971074,37.2,7.565533,3.99,8.880234,23.1,8.544233,4.794968028912983
